"index","name","LossJulDec12","LossJanJun13","LossJul12Jun13","LossJulDec11","LossJanJun12","LossJul11Jun12","address","type","vo","region","attached_entitlements","egms"
428,"SUGAR GUM HOTEL",3965010.57,0,0,4318070.18,3995764.44,8313834.62,"2 GOURLAY ROAD SYDENHAM 3037","Hotel","V02095472","Metropolitan","50","50"
429,"SUMMERHILL HOTEL",6048092.89,0,0,5350651.53,5206819.63,10557471.16,"SHOP 12, 830 PLENTY ROAD RESERVOIR    VIC 3073","Hotel","V9510029","Metropolitan","88","100"
430,"SUNBURY BOWLING CLUB",1997630.73,0,0,2112717.1,1953305.4,4066022.5,"49 RIDDELL ROAD SUNBURY   VIC 3429","Club","V9780032","Metropolitan","78","78"
431,"SUNBURY FOOTBALL SOCIAL CLUB",934734.55,0,0,1011858.3,904859.41,1916717.71,"CLARKE OVAL, RIDDELL ROAD SUNBURY    VIC 3429","Club","V9310078","Metropolitan","38","38"
432,"SUNBURY UNITED SPORTING CLUB",934843.45,0,0,967915.84,895634.39,1863550.23,"LANGAMA PARK, MITCHELLS LANE SUNBURY 3429","Club","V9710050","Metropolitan","27","27"
433,"SUNSHINE CITY CLUB",303485.45,0,0,382546.38,285220.85,667767.23,"24 TALMAGE STREET SUNSHINE  VIC 3020","Club","V9410009","Metropolitan","23","23"
434,"SUNSHINE RSL",1236189.71,0,0,1270959.83,1254258.99,2525218.82,"99 DICKSON STREET SUNSHINE 3020","Club","V99095256","Metropolitan","60","60"
435,"SWAN HILL CLUB",1062952.26,0,0,1070527.28,1006423.22,2076950.5,"5 - 17 MCCALLUM STREET SWAN HILL    VIC 3585","Club","V12100003","Country","35","35"
436,"SWAN HILL RSL",906326.1,0,0,862138.85,848843.32,1710982.17,"138 CURLEWIS STREET SWAN HILL   VIC 3585","Club","V01095404","Country","35","35"
437,"SYLVANIA HOTEL",6370091.94,0,0,6583194.16,6541618.72,13124812.88,"1631 SYDNEY ROAD CAMPBELLFIELD    VIC 3061","Hotel","V98095066","Metropolitan","75","87"
438,"TABCORP PARK",3353061.85,0,0,3818808.27,3415272.71,7234080.98,"2 FERRIS ROAD MELTON SOUTH 3338","Club","V05095936","Metropolitan","80","80"
439,"TANKERVILLE ARMS HOTEL",3265927,0,0,3590601.07,3328919.47,6919520.54,"230 NICHOLSON STREET FITZROY    VIC 3065","Hotel","V9610005","Metropolitan","49","49"
